route_id,route_short_name,route_long_name,route_type,route_color,agency_id,route_desc,route_url,route_text_color,route_sort_order
"242","SS","Security Shuttle","3",,"1",,,,"0"
"11","CL","College Loop","3",,"1",,,,"1"
"5","EG","East Glenn","3",,"1",,,,"2"
"27","FSS","Friday Evening Shopping Shuttle","3",,"1",,,,"3"
"26","GH","Glenn-Harper","3",,"1",,,,"4"
"2","HW","Haley West","3",,"1",,,,"5"
"33","HSS","Health Sciences Sector","3",,"1",,,,"6"
"31","ML","Magnolia","3",,"1",,,,"7"
"99","NA","North Auburn","3",,"1",,,,"8"
"7","NC","North College","3",,"1",,,,"9"
"93","ND","North Dean -AM  (before 11 am)","3",,"1",,,,"10"
"235_93","NDPM","North Dean - PM (after 11 am)","3",,"1",,,,"11"
"97","NDON","North Donahue","3",,"1",,,,"14"
"24","NRS","North Ross","3",,"1",,,,"15"
"17","OR","Old Row - West Parking","3",,"1",,,,"16"
"96","PNR","Park & Ride","3",,"1",,,,"17"
"4","SSJ","Samford-Shug Jordan","3",,"1",,,,"18"
"215_202_201_156","SA","South Auburn","3",,"1",,,,"19"
"28","SC","South College","3",,"1",,,,"20"
"100","SD","South Donahue","3",,"1",,,,"21"
"226_32","SQFA","South Quad/Fine Arts","3",,"1",,,,"22"
"1","WBR","Webster Road","3",,"1",,,,"23"
"9","WC","West Campus","3",,"1",,,,"24"
"6","WG","West Glenn","3",,"1",,,,"25"
"114","WR","Wire Road","3",,"1",,,,"26"
"216","GVCOM","GDS - ADA @ VCOM","3",,"1",,,,"27"
"217","GAM","GDS - Auburn Mall","3",,"1",,,,"28"
"218","GASC","GDS - Auburn Softball Complex","3",,"1",,,,"29"
"227_","GASC1","GDS - 2nd Half Auburn Softball Complex","3",,"1",,,,"30"
"225_","GDSP","GDS - Duck Samford Park","3",,"1",,,,"31"
"220","GFAC","GDS - Facilities","3",,"1",,,,"32"
"228_","GFAC1","GDS - 2nd Half Facilities","3",,"1",,,,"33"
"221","GPAC","GDS - GPAC / South Quad Deck","3",,"1",,,,"34"
"222","GTT","GDS - Tiger Town","3",,"1",,,,"35"
"223","GWP","GDS - West Parking","3",,"1",,,,"36"
"230","CT","Charter","3",,"1",,,,"38"
"241","Pan","Panhellenic","3",,"1",,,,"39"
"231","Vans","University Express","3",,"1",,,,"41"
"232","JT","jAUnt","3",,"1",,,,"42"
