route_id,route_short_name,route_long_name,route_type,route_color,agency_id,route_desc,route_url,route_text_color,route_sort_order
"242","SS","Security Shuttle","3",FF8822,"1",,,,"0"
"11","CL","College Loop","3",5BA528,"1",,,,"1"
"5","EG","East Glenn","3",047EF8,"1",,,,"2"
"27","FSS","Friday Evening Shopping Shuttle","3",CC6633,"1",,,,"3"
"26","GH","Glenn-Harper","3",BA9D57,"1",,,,"4"
"2","HW","Haley West","3",C00C00,"1",,,,"5"
"33","HSS","Health Sciences Sector","3",DB4444,"1",,,,"6"
"31","ML","Magnolia","3",18857A,"1",,,,"7"
"99","NA","North Auburn","3",820000,"1",,,,"8"
"7","NC","North College","3",8470FF,"1",,,,"9"
"93","ND","North Dean -AM  (before 11 am)","3",FF0000,"1",,,,"10"
"235_93","NDPM","North Dean - PM (after 11 am)","3",FF0000,"1",,,,"11"
"97","NDON","North Donahue","3",AFBAC1,"1",,,,"14"
"24","NRS","North Ross","3",B15842,"1",,,,"15"
"17","OR","Old Row - West Parking","3",D5A168,"1",,,,"16"
"96","PNR","Park & Ride","3",0265AC,"1",,,,"17"
"4","SSJ","Samford-Shug Jordan","3",950714,"1",,,,"18"
"215_202_201_156","SA","South Auburn","3",6578AD,"1",,,,"19"
"28","SC","South College","3",5DBEEC,"1",,,,"20"
"100","SD","South Donahue","3",D00000,"1",,,,"21"
"226_32","SQFA","South Quad/Fine Arts","3",B949F1,"1",,,,"22"
"1","WBR","Webster Road","3",330066,"1",,,,"23"
"9","WC","West Campus","3",009E80,"1",,,,"24"
"6","WG","West Glenn","3",F28500,"1",,,,"25"
"114","WR","Wire Road","3",E6E600,"1",,,,"26"
"216","GVCOM","GDS - ADA @ VCOM","3",76DD28,"1",,,,"27"
"217","GAM","GDS - Auburn Mall","3",F5F518,"1",,,,"28"
"218","GASC","GDS - Auburn Softball Complex","3",58D9DD,"1",,,,"29"
"227_","GASC1","GDS - 2nd Half Auburn Softball Complex","3",58D9DD,"1",,,,"30"
"225_","GDSP","GDS - Duck Samford Park","3",DD66D1,"1",,,,"31"
"220","GFAC","GDS - Facilities","3",DD550C,"1",,,,"32"
"228_","GFAC1","GDS - 2nd Half Facilities","3",DD550C,"1",,,,"33"
"221","GPAC","GDS - GPAC / South Quad Deck","3",FF0000,"1",,,,"34"
"222","GTT","GDS - Tiger Town","3",FACA5A,"1",,,,"35"
"223","GWP","GDS - West Parking","3",38C3FF,"1",,,,"36"
"230","CT","Charter","3",090909,"1",,,,"38"
"241","Pan","Panhellenic","3",F49CF7,"1",,,,"39"
"231","Vans","University Express","3",0C0C0C,"1",,,,"41"
"232","JT","jAUnt","3",FCEC10,"1",,,,"42"
