stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"238","Auburn Softball Complex","32.553531646728516","-85.51000213623047","1856F",,,,"0",,,
"240","Duck Samford Park","32.61310958862305","-85.44384002685547","1856H",,,,"0",,,
"46","Highland Condominiums","32.6104850769043","-85.47039031982422","46",,,,"0",,,
"88","Neville Arena","32.60245132446289","-85.4919204711914","88",,,,"0",,,
"4","Tiger Town Kroger","32.62068176269531","-85.41089630126953","4",,,,"0",,,
"9","Sanders St & Drake Ave (OB)","32.61408233642578","-85.48377227783203","9",,,,"0",,,
"53","Lem Morrison Dr & Donahue Dr","32.59271240234375","-85.48778533935547","53",,,,"0",,,
"94","Ross St &  Harper Ave / Regency Square Apartments","32.61109924316406","-85.47538757324219","94",,,,"0",,,
"102","Deerwood Apartments","32.60934829711914","-85.47052001953125","102",,,,"0",,,
"103","Harper Ave & Cook St / Deerfield Condominiums","32.610530853271484","-85.4740982055664","103",,,,"0",,,
"130","Gay St & Mitcham Ave (The Standard)","32.60966110229492","-85.47984313964844","130",,,,"0",,,
"143","South Donahue Dr & Woodfield Dr","32.5888786315918","-85.48983001708984","143",,,,"0",,,
"157","Beard Eaves Memorial Coliseum / South Donahue Residence Hall","32.59891891479492","-85.4905014038086","157",,,,"0",,,
"251","Woodfield @ War Eagle Way","32.6048583984375","-85.4943618774414","1856O",,,,"0",,,
"216","AU Medical Center SQ","32.59267044067383","-85.48773193359375","216",,,,"0",,,
"237","AU Softball Complex @ War Eagle Way","32.60480880737305","-85.49149322509766","1856E",,,,"0",,,
"239","Duck Samford @ War Eagle Way","32.60485076904297","-85.49299621582031","1856G",,,,"0",,,
"241","Facilities @ War Eagle Way","32.60480880737305","-85.49241638183594","1856I",,,,"0",,,
"242","3D Arts & Gameday Facilities","32.599300384521484","-85.50347137451172","1856J",,,,"0",,,
"243","ADA GPAC @ War Eagle Way","32.604736328125","-85.49082946777344","1856I",,,,"0",,,
"166","Asian Supermarket","32.632808685302734","-85.43327331542969","166",,,,"0",,,
"265","Stop 2","32.58185958862305","-85.51969146728516","ST2",,,,"0",,,
"266","Stop 3","32.57948303222656","-85.52285766601562","ST2",,,,"0",,,
"267","Stop 4","32.58157730102539","-85.5194320678711","ST3",,,,"0",,,
"268","Stop 1","32.58076095581055","-85.51861572265625","st1",,,,"0",,,
"26","AU Impound Lot","32.60381317138672","-85.49980926513672","26",,,,"0",,,
"85","West Parking Lot","32.604095458984375","-85.50190734863281","85",,,,"0",,,
"56","Student Center Haley Center Pavillion","32.6024169921875","-85.48751831054688","56",,,,"0",,,
"207","West Parking Lot #2","32.603797912597656","-85.50190734863281","207",,,,"0",,,
"196","Mell St Station","32.60116958618164","-85.48320770263672","196",,,,"0",,,
"167","East Glenn Administrative Support Building / HR","32.607582092285156","-85.44792175292969","167",,,,"0",,,
"134","East Thach Ave & Cove Ct","32.60436248779297","-85.46627044677734","134",,,,"0",,,
"179","FarmHouse Fraternity","32.604068756103516","-85.49725341796875","179",,,,"0",,,
"165","The Beacon","32.581783294677734","-85.49327087402344","165",,,,"0",,,
"131","AU Federal Credit Union","32.57991409301758","-85.48937225341797","131",,,,"0",,,
"54","VCOM","32.588226318359375","-85.49024963378906","54",,,,"0",,,
"20","160 Ross","32.608577728271484","-85.47303771972656","20",,,,"0",,,
"115","Lowder Hall","32.605098724365234","-85.49057006835938","115",,,,"0",,,
"7","Aspen Heights Ln","32.618770599365234","-85.46521759033203","7",,,,"0",,,
"98","Creekside 1st Stop","32.62038803100586","-85.4669418334961","98",,,,"0",,,
"170","319 Bragg","32.61083984375","-85.48766326904297","170",,,,"0",,,
"200","Martin Ave & North Gay St","32.61748123168945","-85.47955322265625","200",,,,"0",,,
"144","Tullahoma Dr at Shelton Mill Rd","32.6243896484375","-85.47486114501953","144",,,,"0",,,
"29","Gentry Dr & Drew Ln","32.6245002746582","-85.45932006835938","29",,,,"0",,,
"122","North Dean & Drew Ln","32.62440872192383","-85.46163177490234","122",,,,"0",,,
"23","Creekside 3rd Stop","32.61798095703125","-85.46782684326172","23",,,,"0",,,
"100","Donahue Crossing 2nd Stop","32.63162612915039","-85.501220703125","100",,,,"0",,,
"95","Donahue Crossing 3rd Stop","32.63365173339844","-85.50077819824219","95",,,,"0",,,
"181","East Drake Ave & North Ross St","32.61431884765625","-85.47579193115234","181",,,,"0",,,
"178","Gazebo Apartments","32.61764907836914","-85.4751968383789","178",,,,"0",,,
"199","Mary Ln & Harris Ave","32.61885070800781","-85.47367858886719","199",,,,"0",,,
"162","Impound Lot","32.603031158447266","-85.50079345703125","162",,,,"0",,,
"91","West Magnolia Ave & Hemlock Dr","32.606201171875","-85.49915313720703","91",,,,"0",,,
"87","The Village","32.60472869873047","-85.4937515258789","87",,,,"0",,,
"198","The McWhorter Center","32.597415924072266","-85.49529266357422","198",,,,"0",,,
"42","Intramural Field (Biggio Drive)","32.59564971923828","-85.4980239868164","42",,,,"0",,,
"110","Lem Morrison Drive (New Frat Row)","32.594947814941406","-85.49923706054688","110",,,,"0",,,
"13","Extension Loop","32.60298538208008","-85.4966812133789","13",,,,"0",,,
"153","The Hub Apartments","32.595394134521484","-85.50633239746094","153",,,,"0",,,
"183","3-D Arts Center & Facilities Management","32.59994125366211","-85.50342559814453","183",,,,"0",,,
"191","Samford Square","32.574485778808594","-85.50308227539062","191",,,,"0",,,
"21","Downs Way & West Longleaf Dr","32.57255172729492","-85.51277160644531","21",,,,"0",,,
"92","Longleaf Villas","32.57292938232422","-85.50569915771484","92",,,,"0",,,
