"Start Date:01/14/2026 12:00 AM End Date:01/23/2026 12:00 AM","","","","","","","","","","",""
"DATE","Vehicle ID","Number","Route","Station","ARRIVAL","DEPARTURE","Dwell (sec)","APC Boardings","APC Alightings","EPC Boardings","EPC Alightings"
"2026-01-14","jAUnt 5","27195-0113_M1","jAUnt","jAUnt Stop 2","00:03:36","00:04:26","50","0","0","0","0"
"2026-01-14","jAUnt 8","27197-0113_M1","jAUnt","jAUnt Stop 2","00:04:02","01:44:31","6029","0","0","0","0"
"2026-01-14","jAUnt 2","27192-0113_A1","jAUnt","jAUnt Stop 2","00:05:49","00:05:49","0","0","0","0","0"
"2026-01-14","jAUnt 3","27193-0113_M1","jAUnt","jAUnt Stop 2","00:09:36","00:09:56","20","0","0","0","0"
"2026-01-14","jAUnt 2","27192-0113_A1","jAUnt","jAUnt Stop 2","00:18:19","00:18:19","0","0","0","0","0"
"2026-01-14","jAUnt 5","27195-0113_M1","jAUnt","jAUnt Stop 2","00:21:37","00:21:57","20","0","0","0","0"
"2026-01-14","jAUnt 2","27192-0113_A1","jAUnt","jAUnt Stop 2","00:30:18","00:30:18","0","0","0","0","0"
"2026-01-14","jAUnt 5","27195-0113_M1","jAUnt","jAUnt Stop 2","00:32:18","00:32:48","30","0","0","0","0"
"2026-01-14","jAUnt 5","27195-0113_M1","jAUnt","jAUnt Stop 2","00:45:19","00:45:19","0","0","0","0","0"
"2026-01-14","jAUnt 5","27195-0113_M1","jAUnt","jAUnt Stop 2","01:01:00","01:01:50","50","0","0","0","0"
"2026-01-14","jAUnt 3","27193-0113_M1","jAUnt","jAUnt Stop 2","01:02:21","01:02:31","10","0","0","0","0"
"2026-01-14","jAUnt 2","27192-0113_A1","jAUnt","jAUnt Stop 2","01:09:10","01:09:30","20","0","0","0","0"
"2026-01-14","jAUnt 5","27195-0113_M1","jAUnt","jAUnt Stop 2","01:16:51","01:17:11","20","0","0","0","0"
"2026-01-14","jAUnt 2","27192-0113_A1","jAUnt","jAUnt Stop 2","01:26:49","01:26:59","10","0","0","0","0"
"2026-01-14","jAUnt 3","27193-0113_M1","jAUnt","jAUnt Stop 2","01:27:41","01:27:51","10","0","0","0","0"
"2026-01-14","jAUnt 5","27195-0113_M1","jAUnt","jAUnt Stop 2","01:30:22","01:30:32","10","0","0","0","0"
"2026-01-14","jAUnt 3","27193-0113_M1","jAUnt","jAUnt Stop 2","01:32:21","01:33:01","40","0","0","0","0"
"2026-01-14","jAUnt 3","27193-0113_M1","jAUnt","jAUnt Stop 2","01:55:31","01:55:41","10","0","0","0","0"
"2026-01-14","jAUnt 3","27193-0113_M1","jAUnt","jAUnt Stop 2","02:02:41","02:02:51","10","0","0","0","0"
"2026-01-14","jAUnt 2","27192-0113_A1","jAUnt","jAUnt Stop 2","02:09:00","02:09:00","0","0","0","0","0"
"2026-01-14","jAUnt 3","27193-0113_M1","jAUnt","jAUnt Stop 2","02:16:31","02:16:31","0","0","0","0","0"
"2026-01-14","jAUnt 2","27192-0113_A1","jAUnt","jAUnt Stop 2","02:30:50","02:31:10","20","0","0","0","0"
"2026-01-14","jAUnt 3","27193-0113_M1","jAUnt","jAUnt Stop 2","02:41:51","02:41:51","0","0","0","0","0"
"2026-01-14","jAUnt 5","27195-0113_M1","jAUnt","jAUnt Stop 2","02:44:38","02:44:48","10","0","0","0","0"
"2026-01-14","jAUnt 3","27193-0113_M1","jAUnt","jAUnt Stop 2","02:45:41","02:45:51","10","0","0","0","0"
"2026-01-14","jAUnt 2","27192-0113_A1","jAUnt","jAUnt Stop 2","02:49:29","02:50:19","50","0","0","0","0"
"2026-01-14","jAUnt 5","27195-0113_M1","jAUnt","jAUnt Stop 2","02:54:59","02:55:49","50","0","0","0","0"
"2026-01-14","jAUnt 5","27195-0113_M1","jAUnt","jAUnt Stop 2","03:00:10","03:00:20","10","0","0","0","0"
"2026-01-14","jAUnt 3","27193-0113_M1","jAUnt","jAUnt Stop 2","03:00:31","03:00:51","20","0","0","0","0"
"2026-01-14","jAUnt 3","27193-0114_A1","jAUnt","jAUnt Stop 2","03:17:51","03:19:11","80","0","0","0","0"
"2026-01-14","jAUnt 3","27193-0114_A1","jAUnt","jAUnt Stop 2","03:32:21","03:32:51","30","0","0","0","0"
"2026-01-14","Greenspace_PIDS","NIS","No Route","Student Center Haley Center Pavillion","04:00:42","04:00:42","0","0","0","0","0"
"2026-01-14","ParkingDeck_PIDS","NIS","No Route","Student Center Stadium Parking Deck Pavilion","04:00:42","04:00:42","0","0","0","0","0"
"2026-01-14","jAUnt 3","27193-0114_A1","jAUnt","jAUnt Stop 2","04:16:33","04:16:33","0","0","0","0","0"
"2026-01-14","jAUnt 2","27192-0114_A1","jAUnt","jAUnt Stop 2","04:22:03","04:22:51","48","0","0","0","0"
"2026-01-14","jAUnt 4","27194-0114_A1","jAUnt","jAUnt Stop 2","04:26:27","04:27:18","51","0","0","0","0"
"2026-01-14","jAUnt 8","27197-0114_A1","jAUnt","jAUnt Stop 2","04:29:34","04:32:23","169","0","0","0","0"
"2026-01-14","jAUnt 4","27194-0114_A1","jAUnt","jAUnt Stop 2","04:30:38","04:30:38","0","0","0","0","0"
"2026-01-14","jAUnt 2","27192-0114_A1","jAUnt","jAUnt Stop 2","04:50:51","04:50:51","0","0","0","0","0"
"2026-01-14","jAUnt 3","27193-0114_A1","jAUnt","jAUnt Stop 2","04:54:13","04:55:43","90","0","0","0","0"
"2026-01-14","jAUnt 2","27192-0114_A1","jAUnt","jAUnt Stop 2","05:01:00","05:01:00","0","0","0","0","0"
"2026-01-14","jAUnt 3","27193-0114_A1","jAUnt","jAUnt Stop 2","05:12:13","05:12:13","0","0","0","0","0"
"2026-01-14","21-121","NIS","Glenn-Harper","Gentilly Park","05:13:30","05:13:32","2","0","0","0","0"
"2026-01-14","21-121","NIS","Glenn-Harper","College Mobile Home Park","05:13:52","05:13:59","7","0","0","0","0"
"2026-01-14","jAUnt 3","27193-0114_A1","jAUnt","jAUnt Stop 2","05:15:43","05:16:03","20","0","0","0","0"
"2026-01-14","21-121","NIS","Glenn-Harper","College Mobile Home Park","05:19:36","05:19:36","0","0","0","0","0"
"2026-01-14","jAUnt 4","27194-0114_A1","jAUnt","jAUnt Stop 2","05:26:37","05:26:37","0","0","0","0","0"
"2026-01-14","jAUnt 8","27197-0114_A1","jAUnt","jAUnt Stop 2","05:28:05","05:28:05","0","0","0","0","0"
"2026-01-14","jAUnt 8","27197-0114_A1","jAUnt","jAUnt Stop 2","05:31:23","05:31:23","0","0","0","0","0"
"2026-01-14","jAUnt 2","27192-0114_A1","jAUnt","jAUnt Stop 2","05:33:41","05:33:41","0","0","0","0","0"
"2026-01-14","jAUnt 2","27192-0114_A1","jAUnt","jAUnt Stop 2","05:45:21","05:48:31","190","0","0","0","0"
"2026-01-14","jAUnt 4","27194-0114_A1","jAUnt","jAUnt Stop 2","05:45:38","05:45:58","20","0","0","0","0"
"2026-01-14","jAUnt 4","27194-0114_A1","jAUnt","jAUnt Stop 2","06:00:19","06:00:19","0","0","0","0","0"
"2026-01-14","jAUnt 2","27192-0114_A1","jAUnt","jAUnt Stop 2","06:09:41","06:10:01","20","0","0","0","0"
"2026-01-14","jAUnt 2","27192-0114_A1","jAUnt","jAUnt Stop 2","06:16:31","06:18:11","100","0","0","0","0"
"2026-01-14","21-148","NIS","North Dean - PM (after 11 am)","Gentilly Park","06:29:58","06:30:12","14","0","0","0","0"
"2026-01-14","21-148","NIS","North Dean - PM (after 11 am)","Madison Park","06:30:22","06:30:22","0","0","0","0","0"
"2026-01-14","21-148","NIS","North Dean - PM (after 11 am)","The Brookes & Hearthstone","06:31:12","06:31:12","0","0","0","0","0"
"2026-01-14","21-148","NIS","North Dean - PM (after 11 am)","Crossland Downs & Stone Gate Mobile Home Community","06:31:22","06:31:22","0","0","0","0","0"
"2026-01-14","21-139","NIS","North Auburn","Gentilly Park","06:31:50","06:32:13","23","0","0","0","0"
"2026-01-14","21-148","NIS","North Dean - PM (after 11 am)","College of Veterinary Medicine","06:31:51","06:32:13","22","0","0","0","0"
"2026-01-14","21-139","NIS","North Auburn","Madison Park","06:32:23","06:32:23","0","0","0","0","0"
"2026-01-14","21-139","NIS","North Auburn","The Brookes & Hearthstone","06:32:43","06:32:43","0","0","0","0","0"
"2026-01-14","21-139","NIS","North Auburn","Crossland Downs & Stone Gate Mobile Home Community","06:32:53","06:32:53","0","0","0","0","0"
"2026-01-14","21-139","NIS","North Auburn","College of Veterinary Medicine","06:33:13","06:33:13","0","0","0","0","0"
"2026-01-14","21-141","NIS","North Ross","Gentilly Park","06:33:58","06:34:13","15","0","0","0","0"
"2026-01-14","21-141","NIS","North Ross","Madison Park","06:34:23","06:34:23","0","0","0","0","0"
"2026-01-14","21-141","NIS","North Ross","The Brookes & Hearthstone","06:34:53","06:34:53","0","0","0","0","0"
"2026-01-14","21-142","NIS","South College","Gentilly Park","06:35:00","06:35:21","21","0","0","0","0"
"2026-01-14","21-141","NIS","North Ross","Crossland Downs & Stone Gate Mobile Home Community","06:35:13","06:35:13","0","0","0","0","0"
"2026-01-14","21-101","NIS","North Donahue","Gentilly Park","06:35:28","06:35:41","13","0","0","0","0"
"2026-01-14","21-142","NIS","South College","Madison Park","06:35:41","06:35:41","0","0","0","0","0"
"2026-01-14","21-141","NIS","North Ross","College of Veterinary Medicine","06:35:43","06:35:59","16","0","0","0","0"
"2026-01-14","21-140","NIS","Magnolia","Gentilly Park","06:35:50","06:36:02","12","0","0","0","0"
"2026-01-14","21-101","NIS","North Donahue","Madison Park","06:35:51","06:35:51","0","0","0","0","0"
"2026-01-14","21-141","NIS","North Ross","Greene Hall","06:36:09","06:36:09","0","0","0","0","0"
"2026-01-14","21-140","NIS","Magnolia","Madison Park","06:36:12","06:36:12","0","0","0","0","0"
"2026-01-14","21-142","NIS","South College","The Brookes & Hearthstone","06:36:21","06:36:21","0","0","0","0","0"
"2026-01-14","21-140","NIS","Magnolia","The Brookes & Hearthstone","06:36:42","06:36:42","0","0","0","0","0"
"2026-01-14","21-142","NIS","South College","Crossland Downs & Stone Gate Mobile Home Community","06:36:51","06:36:51","0","0","0","0","0"
"2026-01-14","21-101","NIS","North Donahue","Crossland Downs & Stone Gate Mobile Home Community","06:36:51","06:36:51","0","0","0","0","0"
"2026-01-14","21-142","NIS","South College","College of Veterinary Medicine","06:37:22","06:37:46","24","0","0","0","0"
"2026-01-14","21-123","NIS","Magnolia","Gentilly Park","06:37:24","06:37:45","21","0","0","0","0"
"2026-01-14","21-101","NIS","North Donahue","College of Veterinary Medicine","06:37:29","06:37:47","18","0","0","0","0"
"2026-01-14","21-140","NIS","Magnolia","College of Veterinary Medicine","06:37:32","06:37:48","16","0","0","0","0"
"2026-01-14","21-123","NIS","Magnolia","Madison Park","06:37:55","06:37:55","0","0","0","0","0"
"2026-01-14","21-142","NIS","South College","Greene Hall","06:37:56","06:37:56","0","0","0","0","0"
"2026-01-14","21-101","NIS","North Donahue","Greene Hall","06:37:57","06:37:57","0","0","0","0","0"
"2026-01-14","21-140","NIS","Magnolia","Greene Hall","06:37:58","06:37:58","0","0","0","0","0"
"2026-01-14","21-122","NIS","East Glenn ","Gentilly Park","06:38:24","06:38:41","17","0","0","0","0"
"2026-01-14","21-122","NIS","East Glenn ","Madison Park","06:38:51","06:38:51","0","0","0","0","0"
"2026-01-14","21-123","NIS","Magnolia","The Brookes & Hearthstone","06:38:57","06:38:57","0","0","0","0","0"
"2026-01-14","21-122","NIS","East Glenn ","The Brookes & Hearthstone","06:39:22","06:39:22","0","0","0","0","0"
"2026-01-14","21-122","NIS","East Glenn ","Crossland Downs & Stone Gate Mobile Home Community","06:39:41","06:39:41","0","0","0","0","0"
"2026-01-14","21-123","NIS","Magnolia","College of Veterinary Medicine","06:39:43","06:40:39","56","0","0","0","0"
"2026-01-14","21-140","NIS","Magnolia","KA Stop","06:39:58","06:39:58","0","0","0","0","0"
"2026-01-14","21-142","NIS","South College","Lem Morrison Drive (New Frat Row)","06:40:06","06:40:06","0","0","0","0","0"
"2026-01-14","21-122","NIS","East Glenn ","College of Veterinary Medicine","06:40:12","06:40:30","18","0","0","0","0"
"2026-01-14","21-141","NIS","North Ross","The Beacon","06:40:27","06:40:27","0","0","0","0","0"
"2026-01-14","21-122","NIS","East Glenn ","Greene Hall","06:40:40","06:40:40","0","0","0","0","0"
"2026-01-14","21-107","NIS","North Auburn","Gentilly Park","06:41:31","06:41:43","12","0","0","0","0"
"2026-01-14","21-107","NIS","North Auburn","Madison Park","06:41:53","06:41:53","0","0","0","0","0"
"2026-01-14","21-134","NIS","North Dean - PM (after 11 am)","Gentilly Park","06:41:54","06:42:09","15","0","0","0","0"
"2026-01-14","21-158","NIS","South College","Gentilly Park","06:41:59","06:42:26","27","0","0","0","0"
"2026-01-14","21-134","NIS","North Dean - PM (after 11 am)","Madison Park","06:42:19","06:42:19","0","0","0","0","0"
"2026-01-14","21-142","NIS","South College","Pan 2","06:42:30","06:42:30","0","0","0","0","0"
"2026-01-14","21-107","NIS","North Auburn","The Brookes & Hearthstone","06:42:30","06:42:30","0","0","0","0","0"
"2026-01-14","21-158","NIS","South College","Madison Park","06:42:36","06:42:36","0","0","0","0","0"
"2026-01-14","21-138","NIS","Haley West","Gentilly Park","06:42:44","06:43:12","28","0","0","0","0"
"2026-01-14","21-142","NIS","South College","AU Medical Clinic","06:42:47","06:42:52","5","0","0","0","0"
"2026-01-14","21-168","NIS","South Quad/Fine Arts","Gentilly Park","06:42:55","06:43:39","44","0","0","0","0"
"2026-01-14","21-123","NIS","Magnolia","KA Stop","06:42:59","06:42:59","0","0","0","0","0"
"2026-01-14","21-134","NIS","North Dean - PM (after 11 am)","Crossland Downs & Stone Gate Mobile Home Community","06:43:00","06:43:00","0","0","0","0","0"
"2026-01-14","21-142","NIS","South College","South Quad Parking Deck","06:43:02","06:43:02","0","0","0","0","0"
"2026-01-14","21-107","NIS","North Auburn","College of Veterinary Medicine","06:43:13","06:43:52","39","0","0","0","0"
"2026-01-14","21-161","NIS","No Route","Gentilly Park","06:43:15","06:43:43","28","0","0","0","0"
"2026-01-14","21-158","NIS","South College","Crossland Downs & Stone Gate Mobile Home Community","06:43:16","06:43:16","0","0","0","0","0"
"2026-01-14","21-138","NIS","Haley West","Madison Park","06:43:23","06:43:23","0","0","0","0","0"
"2026-01-14","21-134","NIS","North Dean - PM (after 11 am)","College of Veterinary Medicine","06:43:28","06:44:16","48","0","0","0","0"
"2026-01-14","21-148","NIS","North Dean - PM (after 11 am)","Football Drop-Off/Pick-Up @ Auburn Mall","06:43:30","06:43:30","0","0","0","0","0"
"2026-01-14","21-113","NIS","Haley West","Gentilly Park","06:43:35","06:44:07","32","0","0","0","0"
"2026-01-14","21-138","NIS","Haley West","The Brookes & Hearthstone","06:43:43","06:43:43","0","0","0","0","0"
"2026-01-14","21-168","NIS","South Quad/Fine Arts","Madison Park","06:43:49","06:43:49","0","0","0","0","0"
"2026-01-14","21-161","NIS","No Route","Madison Park","06:43:53","06:43:53","0","0","0","0","0"
"2026-01-14","21-115","NIS","College Loop","Gentilly Park","06:43:53","06:44:18","25","0","0","0","0"
"2026-01-14","21-116","NIS","North Ross","Gentilly Park","06:43:57","06:44:28","31","0","0","0","0"
"2026-01-14","21-138","NIS","Haley West","Crossland Downs & Large Animal Teaching Hospital","06:44:02","06:44:02","0","0","0","0","0"
"2026-01-14","21-107","NIS","North Auburn","Greene Hall","06:44:02","06:44:02","0","0","0","0","0"
"2026-01-14","21-158","NIS","South College","College of Veterinary Medicine","06:44:08","06:44:08","0","0","0","0","0"
"2026-01-14","21-168","NIS","South Quad/Fine Arts","The Brookes & Hearthstone","06:44:09","06:44:09","0","0","0","0","0"
"2026-01-14","21-158","NIS","South College","Greene Hall","06:44:18","06:44:18","0","0","0","0","0"
"2026-01-14","21-160","NIS","East Glenn ","Gentilly Park","06:44:22","06:44:34","12","0","0","0","0"
"2026-01-14","21-138","NIS","Haley West","Greene Hall","06:44:22","06:44:22","0","0","0","0","0"
"2026-01-14","21-139","NIS","North Auburn","North Dean & Drew Ln","06:44:24","06:44:24","0","0","0","0","0"
"2026-01-14","21-113","NIS","Haley West","Madison Park","06:44:27","06:44:27","0","0","0","0","0"
"2026-01-14","21-148","07:00:00-27089","North Dean -AM  (before 11 am)","Auburn Mall","06:44:30","06:59:57","927","1","1","0","0"
"2026-01-14","21-133","NIS","West Glenn","Gentilly Park","06:44:33","06:45:03","30","0","0","0","0"
"2026-01-14","21-120","NIS","Old Row - West Parking","Gentilly Park","06:44:36","06:45:33","57","0","0","0","0"
"2026-01-14","21-115","NIS","College Loop","Madison Park","06:44:38","06:44:38","0","0","0","0","0"
"2026-01-14","21-116","NIS","North Ross","Madison Park","06:44:38","06:44:38","0","0","0","0","0"
"2026-01-14","21-123","NIS","Magnolia","Eagles West Apartments ","06:44:39","06:44:39","0","0","0","0","0"
