service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_name
"142",1,1,1,1,1,1,1,"20250725","20350731",
"140",1,1,1,1,1,0,0,"20240905","20360831",
"139",1,1,1,1,1,1,1,"20240812","20270908",
"129",1,1,1,1,1,0,0,"20220801","20280801",
"116",1,1,1,1,1,0,0,"20230109","20270112",
"114",1,1,1,1,1,1,1,"20230104","20270112",
"111",0,0,0,0,0,1,0,"20221025","20280801",
"102",0,0,0,0,0,1,0,"20221021","20280801",
"101",1,1,1,1,1,0,0,"20220923","20280801",
"97",1,1,1,1,1,0,0,"20220801","20270112",
"19",1,1,1,1,1,0,0,"20220801","20350831",
"18",1,1,1,1,1,0,0,"20220801","20360831",
"12",1,1,1,1,1,0,0,"20220711","20360831",
"8",1,1,1,1,1,0,0,"20210809","20280801",
"5",1,1,1,1,1,0,0,"20210809","20270112",
"3",0,0,0,0,1,0,0,"20180807","20270112",
