trip_id,stop_id,stop_sequence,arrival_time,departure_time,drop_off_type,shape_dist_traveled,timepoint,stop_headsign
"1895",196,1,07:20:00,07:20:00,,0.0006,1,"EAST GLENN 2 - DELTA AVIATION"
"1895",134,2,07:28:00,07:28:00,,1.1766,0,"EAST GLENN 2 - DELTA AVIATION"
"1895",167,3,07:36:00,07:36:00,,2.6505,0,"EAST GLENN 2 - MELL ST. STATION"
"1895",126,4,07:40:00,07:40:00,,3.5154,1,"EAST GLENN 2 - MELL ST. STATION"
"1895",196,5,07:55:00,07:55:00,,7.1566,0,"EAST GLENN 2 - MELL ST. STATION"
"1896",196,1,08:00:00,08:00:00,,0.0006,1,"EAST GLENN 2 - DELTA AVIATION"
"1896",134,2,08:08:00,08:08:00,,1.1766,0,"EAST GLENN 2 - DELTA AVIATION"
"1896",167,3,08:16:00,08:16:00,,2.6505,0,"EAST GLENN 2 - MELL ST. STATION"
"1896",126,4,08:20:00,08:20:00,,3.5154,1,"EAST GLENN 2 - MELL ST. STATION"
"1896",196,5,08:35:00,08:35:00,,7.1566,0,"EAST GLENN 2 - MELL ST. STATION"
"1897",196,1,08:40:00,08:40:00,,0.0006,1,"EAST GLENN 2 - DELTA AVIATION"
"1897",134,2,08:48:00,08:48:00,,1.1766,0,"EAST GLENN 2 - DELTA AVIATION"
"1897",167,3,08:56:00,08:56:00,,2.6505,0,"EAST GLENN 2 - MELL ST. STATION"
"1897",126,4,09:00:00,09:00:00,,3.5154,1,"EAST GLENN 2 - MELL ST. STATION"
"1897",196,5,09:15:00,09:15:00,,7.1566,0,"EAST GLENN 2 - MELL ST. STATION"
"1898",196,1,09:20:00,09:20:00,,0.0006,1,"EAST GLENN 2 - DELTA AVIATION"
"1898",134,2,09:28:00,09:28:00,,1.1766,0,"EAST GLENN 2 - DELTA AVIATION"
"1898",167,3,09:36:00,09:36:00,,2.6505,0,"EAST GLENN 2 - MELL ST. STATION"
"1898",126,4,09:40:00,09:40:00,,3.5154,1,"EAST GLENN 2 - MELL ST. STATION"
"1898",196,5,09:55:00,09:55:00,,7.1566,0,"EAST GLENN 2 - MELL ST. STATION"
"1899",196,1,10:00:00,10:00:00,,0.0006,1,"EAST GLENN 2 - DELTA AVIATION"
"1899",134,2,10:08:00,10:08:00,,1.1766,0,"EAST GLENN 2 - DELTA AVIATION"
"1899",167,3,10:16:00,10:16:00,,2.6505,0,"EAST GLENN 2 - MELL ST. STATION"
"1899",126,4,10:20:00,10:20:00,,3.5154,1,"EAST GLENN 2 - MELL ST. STATION"
"1899",196,5,10:35:00,10:35:00,,7.1566,0,"EAST GLENN 2 - MELL ST. STATION"
"1900",196,1,10:40:00,10:40:00,,0.0006,1,"EAST GLENN 2 - DELTA AVIATION"
"1900",134,2,10:48:00,10:48:00,,1.1766,0,"EAST GLENN 2 - DELTA AVIATION"
"1900",167,3,10:56:00,10:56:00,,2.6505,0,"EAST GLENN 2 - MELL ST. STATION"
"1900",126,4,11:00:00,11:00:00,,3.5154,1,"EAST GLENN 2 - MELL ST. STATION"
"1900",196,5,11:15:00,11:15:00,,7.1566,0,"EAST GLENN 2 - MELL ST. STATION"
"1901",196,1,11:20:00,11:20:00,,0.0006,1,"EAST GLENN 2 - DELTA AVIATION"
"1901",134,2,11:28:00,11:28:00,,1.1766,0,"EAST GLENN 2 - DELTA AVIATION"
"1901",167,3,11:36:00,11:36:00,,2.6505,0,"EAST GLENN 2 - MELL ST. STATION"
"1901",126,4,11:40:00,11:40:00,,3.5154,1,"EAST GLENN 2 - MELL ST. STATION"
"1901",196,5,11:55:00,11:55:00,,7.1566,0,"EAST GLENN 2 - MELL ST. STATION"
"1902",196,1,12:00:00,12:00:00,,0.0006,1,"EAST GLENN 2 - DELTA AVIATION"
"1902",134,2,12:08:00,12:08:00,,1.1766,0,"EAST GLENN 2 - DELTA AVIATION"
"1902",167,3,12:16:00,12:16:00,,2.6505,0,"EAST GLENN 2 - MELL ST. STATION"
"1902",126,4,12:20:00,12:20:00,,3.5154,1,"EAST GLENN 2 - MELL ST. STATION"
"1902",196,5,12:35:00,12:35:00,,7.1566,0,"EAST GLENN 2 - MELL ST. STATION"
"1903",196,1,13:20:00,13:20:00,,0.0006,1,"EAST GLENN 2 - DELTA AVIATION"
"1903",134,2,13:28:00,13:28:00,,1.1766,0,"EAST GLENN 2 - DELTA AVIATION"
"1903",167,3,13:36:00,13:36:00,,2.6505,0,"EAST GLENN 2 - MELL ST. STATION"
"1903",126,4,13:40:00,13:40:00,,3.5154,1,"EAST GLENN 2 - MELL ST. STATION"
"1903",196,5,13:55:00,13:55:00,,7.1566,0,"EAST GLENN 2 - MELL ST. STATION"
"1904",196,1,14:00:00,14:00:00,,0.0006,1,"EAST GLENN 2 - DELTA AVIATION"
"1904",134,2,14:08:00,14:08:00,,1.1766,0,"EAST GLENN 2 - DELTA AVIATION"
"1904",167,3,14:16:00,14:16:00,,2.6505,0,"EAST GLENN 2 - MELL ST. STATION"
"1904",126,4,14:20:00,14:20:00,,3.5154,1,"EAST GLENN 2 - MELL ST. STATION"
"1904",196,5,14:35:00,14:35:00,,7.1566,0,"EAST GLENN 2 - MELL ST. STATION"
"1905",196,1,14:40:00,14:40:00,,0.0006,1,"EAST GLENN 2 - DELTA AVIATION"
"1905",134,2,14:48:00,14:48:00,,1.1766,0,"EAST GLENN 2 - DELTA AVIATION"
"1905",167,3,14:56:00,14:56:00,,2.6505,0,"EAST GLENN 2 - MELL ST. STATION"
"1905",126,4,15:00:00,15:00:00,,3.5154,1,"EAST GLENN 2 - MELL ST. STATION"
"1905",196,5,15:15:00,15:15:00,,7.1566,0,"EAST GLENN 2 - MELL ST. STATION"
"1906",196,1,15:20:00,15:20:00,,0.0006,1,"EAST GLENN 2 - DELTA AVIATION"
"1906",134,2,15:28:00,15:28:00,,1.1766,0,"EAST GLENN 2 - DELTA AVIATION"
"1906",167,3,15:36:00,15:36:00,,2.6505,0,"EAST GLENN 2 - MELL ST. STATION"
"1906",126,4,15:40:00,15:40:00,,3.5154,1,"EAST GLENN 2 - MELL ST. STATION"
"1906",196,5,15:55:00,15:55:00,,7.1566,0,"EAST GLENN 2 - MELL ST. STATION"
"1907",196,1,16:00:00,16:00:00,,0.0006,1,"EAST GLENN 2 - DELTA AVIATION"
"1907",134,2,16:08:00,16:08:00,,1.1766,0,"EAST GLENN 2 - DELTA AVIATION"
"1907",167,3,16:16:00,16:16:00,,2.6505,0,"EAST GLENN 2 - MELL ST. STATION"
