t,vid,lat,lon,heading,speed,load,routeId,patternId,progress,lastStopId,lastStopTime,lastStopOnTime,nextStopId,etaSeconds,scheduledEta,isDelayed
1761224400000,21-156,32.59951,-85.52959,280,0,0,1,27072,0.3426219,84,1761224245000,-13,132,491,491,False
1761224400000,21-128,32.60243,-85.48759,5,0,0,6,139,0.001243712,56,1761224340000,0,224,481,481,False
1761224400000,21-152,32.60197,-85.48768,30,0,8,4,27053,0.005858546,47,1761224340000,0,41,486,486,False
1761224400000,21-139,32.60098,-85.48387,4,0,7,99,27035,0.8672819,196,1761224344000,-2,0,0,0,False
1761224400000,21-139,32.60098,-85.48387,4,0,7,99,27035,0.8672819,0,,0,196,485,485,False
1761224400000,21-112,32.61819,-85.47971,360,26,1,7,27038,0.06972703,200,1761224374000,-17,144,484,484,False
1761224400000,21-134,32.61584,-85.4645,1,0,0,93,27043,0.7239479,196,1761223741000,0,29,484,484,False
1761224400000,21-148,32.61922,-85.46606,113,19,2,93,27040,0.06042871,23,1761224333000,7,196,482,482,False
1761224400000,21-110,32.63213,-85.49986,223,0,0,97,27045,0.1163732,101,1761224120000,4,100,481,481,False
1761224401000,21-118,32.60271,-85.4876,352,4,1,17,27049,0.0168143,56,1761224349000,0,162,489,489,False
1761224401000,,32.60184,-85.48767,0,0,0,777,9998,-1,0,,0,0,0,0,False
1761224401000,21-155,32.60612,-85.50093,321,3,1,9,27070,0.008029931,222,1761224380000,4,112,481,481,False
1761224401000,jAUnt 10,32.5979,-85.48693,0,0,0,232,27199,-1,0,,0,274,480,480,False
1761224401000,21-168,32.60192,-85.4877,99,0,0,33,27034,0.974206,0,,0,56,485,485,False
1761224401000,,32.60242,-85.48751,0,0,0,777,9998,-1,0,,0,0,0,0,False
1761224401000,21-135,32.58345,-85.48827,350,27,1,100,27063,0.3914312,147,1761224239000,3,315,483,483,False
1761224401000,,32.60104,-85.48833,0,0,0,777,9998,-1,0,,0,0,0,0,False
1761224401000,21-114,32.60163,-85.48785,22,10,1,7,27037,0.04566054,57,1761224347000,0,170,484,484,False
1761224401000,21-113,32.60214,-85.48763,13,0,0,2,27033,1,56,1761224342000,0,88,480,480,False
1761224401000,21-141,32.60905,-85.48978,264,0,6,24,27046,0.7808833,152,1761224012000,2,115,481,481,False
1761224401000,21-108,32.60106,-85.48864,68,7,2,26,27080,0.83718,115,1761224188000,-11,47,481,481,False
1761224402000,21-157,32.57692,-85.496,282,35,0,11,27025,0.4529804,131,1761224336000,2,165,482,482,False
